ItemNo,,ItemName,Material,CatalogDescription,ColorHeading,ColorList,Category,SubCategory,CatalogSize,PackagingDetails,CatalogWeight,Disclaimers,Standard Master Carton Width,Standard Master Carton Length,Standard Master Carton Depth,Standard Master Carton Quantity,Standard Master Carton Actual Weight,PriceQtyCol1,PriceQtyCol2,PriceQtyCol3,PriceQtyCol4,PriceQtyCol5,PriceUSCol1,PriceUSCol2,PriceUSCol3,PriceUSCol4,PriceUSCol5,PriceHeadingType,PriceHeadingUS,Icon_Brand_Name,Photo_Feature,ItemNew,NewCatText,CategoryImageName,SampleTagColors,RecPenCatText,RecPenPriceCol1,RecPenPriceCol2,RecPenPriceCol3,RecPenPriceCol4,RecPenPriceCol5,RecPenPriceCDNCol1,RecPenPriceCDNCol2,RecPenPriceCDNCol3,RecPenPriceCDNCol4,RecPenPriceCDNCol5,CatalogDescPackaging,RecPenFilename,BrandImageName,GroupSubName,GroupName,CategoryShopping,SubCategoryShopping
1020-25,INLINE,Metropolitan® Business Card Holder,Leather,Easy-access double compartment card holder.,Color:,Black,Travel Gifts,Personal Travel (Travel Gifts),"1"" H x 1.5"" W",1-piece black gift box,,,15.74,12.79,11.81,240,31.96,48,150,300,450,600,12.28,11.78,11.28,10.78,9.98,5R,US$,Metropolitan.eps,1020-25BK_D.eps,,,LuggageTravelGifts_R.eps,Color: Black,,,,,,,,,,,,Easy-access double compartment card holder. 1-piece black gift box,,Metropolitan.eps,Metropolitan® Business Card Holder,Metropolitan® Business Card Holder,"Drinkware, Home & Travel",Luggage & Travel Gifts
1025-18,INLINE,Mobile Cell Phone Holder,Stainless Steel,"Phone stand and holder for all cell phones, smartphones, small electronics, or business cards. Non-skid base. Compatible with all smartphones such as iPhone and Blackberry.",Color:,Silver,Desktop,Desktop Accessories And Sets (Desktop),"3"" H x 3.5"" W x 2"" L",1-piece black gift box,,,11.81,8.66,12,40,19.4,96,150,300,450,600,9.82,9.42,9.02,8.62,7.98,5R,US$,,1025-18SL_D.eps,,,TechAccessories_R.eps,Color: Silver,,,,,,,,,,,,"Phone stand and holder for all cell phones, smartphones, small electronics, or business cards. Non-skid base. Compatible with all smartphones such as iPhone and Blackberry. 1-piece black gift box",,,Mobile Cell Phone Holder,Mobile Cell Phone Holder,Mobile Tech,Tech Accessories
1025-23,INLINE,Executive Business Card Case,Leather,Holds up to 20 business cards. Snap closure.,Color:,Black,Travel Gifts,Personal Travel (Travel Gifts),"3.75"" H x 2.5"" W x .25"" L",1-piece white gift box,,,14.17323,20.66929,14.17323,300,44.902,48,150,300,450,600,12.28,11.78,11.28,10.78,9.98,5R,US$,,1025-23BK_D-1.eps,,,LuggageTravelGifts_R.eps,Color: Black,,,,,,,,,,,,Holds up to 20 business cards. Snap closure. 1-piece white gift box,,,Executive Business Card Case,Executive Business Card Case,"Drinkware, Home & Travel",Luggage & Travel Gifts
1025-30,INLINE,Celebrations Bookmark,Iron,Decorative tied tassel High shine chrome finish.,Color:,Silver,Desktop,Desktop Accessories And Sets (Desktop),"6.75"" H x 1.62"" W x .05"" L",Sleeve,,,7,7,9,160,30.8,48,150,300,450,600,4.28,4.12,3.93,3.77,3.48,5R,US$,,1025-30SL_D.eps,,,Desktop_L.eps,Color: Silver,,,,,,,,,,,,Decorative tied tassel High shine chrome finish. Sleeve,,,Celebrations Bookmark,Celebrations Bookmark,Office,Desktop
1025-33,INLINE,Yukon Binoculars,ABS Plastic,Compact and easy to carry. Perfect for travelers and sight see-ers. Binocular magnification is 8x21. Vinyl carrying case.,Color:,Black,Outdoor Living,Binoculars (Outdoor Living),"3.56"" H x 2.31"" W x 1.38"" L",1 piece black gift box,,,17.32,11.41,10.62,50,29.76,36,100,150,250,400,18.43,17.68,16.93,16.18,14.98,5R,US$,,1025-33BK_B-1.eps,,,RecreationCoolersTowels_R.eps,Color: Black,,,,,,,,,,,,Compact and easy to carry. Perfect for travelers and sight see-ers. Binocular magnification is 8x21. Vinyl carrying case. 1 piece black gift box,,,Yukon Binoculars,Yukon Binoculars,Outdoors & Leisure,"Outdoor & Recreation, Coolers & Towels"
1025-37,INLINE,Veneto Automatic Wine Opener,ABS Plastic,"Open wine bottles effortlessly with this automatic opener. Rubber grip handle. Removes natural and synthetic corks. Recharging station, AC adapter, and seal cutter included.",Color:,Silver,Housewares,Wine & Cheese Collection (Housewares),"11.25"" H x 4.75"" W x 4.88"" L",1-piece black gift box,,,13.18,10.23,13.18,4,9.47,12,50,100,150,200,52.87,50.72,48.57,46.42,42.98,5R,US$,,1025-37SL_D-1.eps,,,HousewaresBlankets_R.eps,Color: Silver,,,,,,,,,,,,"Open wine bottles effortlessly with this automatic opener. Rubber grip handle. Removes natural and synthetic corks. Recharging station, AC adapter, and seal cutter included. 1-piece black gift box",,,Veneto Automatic Wine Opener,Veneto Automatic Wine Opener,"Drinkware, Home & Travel",Housewares & Blankets
1025-44,INLINE,Travel Sentry Luggage Lock,ABS Plastic,Give this luggage lock to clients or employees heading off to a tradeshow with a “safe travels” note attached. The lock is approved by the Transportation Security Administration (TSA) so it can be opened by airport security without having to be cut off. Simple combination locking mechanism. Instructions included.,Color:,Black,Travel Gifts,Travel Accessories (Travel Gifts),"2.25"" H x 1.25"" W x .67"" L",1-piece black gift box,,,18.26,7.51,8.46,250,20.3,48,150,300,450,600,9.45,9.07,8.68,8.3,7.68,5R,US$,,1025-44BK_D-1.eps,,,LuggageTravelGifts_R.eps,Color: Black,,,,,,,,,,,,Give this luggage lock to clients or employees heading off to a tradeshow with a “safe travels” note attached. The lock is approved by the Transportation Security Administration (TSA) so it can be opened by airport security without having to be cut off. Simple combination locking mechanism. Instructions included. 1-piece black gift box,,,Travel Sentry Luggage Lock,Travel Sentry Luggage Lock,"Drinkware, Home & Travel",Luggage & Travel Gifts
1025-61,INLINE,Mind Trap 3D Puzzle,Wood,"Set includes 7 puzzle blocks and a cloth carrying sack. Instructions are printed on the sack. Leed's products are not designed for use by, or intended for children ages 12 and under.",Color:,Wood,Games,Desktop Games (Games),"1.85"" H x 1.85"" W x 1.85"" L",Carrying case,,,11.81102,12.79528,10.82677,180,28.6,144,250,400,600,1000,3.67,3.52,3.37,3.22,2.98,5R,US$,,1025-61WD_D.eps,,,Desktop_L.eps,Color: Wood,,,,,,,,,,,,"Set includes 7 puzzle blocks and a cloth carrying sack. Instructions are printed on the sack. Leed's products are not designed for use by, or intended for children ages 12 and under. Carrying case",,,Mind Trap 3D Puzzle,Mind Trap 3D Puzzle,"Drinkware, Home & Travel",Housewares & Blankets
1025-65,INLINE,Air Safe Toiletry Kit,Plastic,"This useful toiletry bag is a must for any frequent flyer who likes to take a carry-on. The 5-piece set includes a funnel and four containers that all meet the requirements set by the Transportation Security Administration—two 2-oz. bottles, one 2-oz. spray bottle, and one 3-oz. bottle. All pieces are clear so that security officials can easily see contents.",Color:,Black,Travel Gifts,Travel Sets (Travel Gifts),"6"" H x 7.5"" W x 1.5"" L",Bulk,,,20.47,16.92,16.14,75,16.53,96,150,300,450,600,5.77,5.53,5.3,5.05,4.68,5R,US$,,1025-65BK_D-3.eps,,,LuggageTravelGifts_L.eps,Color: Black,,,,,,,,,,,,"This useful toiletry bag is a must for any frequent flyer who likes to take a carry-on. The 5-piece set includes a funnel and four containers that all meet the requirements set by the Transportation Security Administration—two 2-oz. bottles, one 2-oz. spray bottle, and one 3-oz. bottle. All pieces are clear so that security officials can easily see contents. Bulk",,,Air Safe Toiletry Kit,Air Safe Toiletry Kit,"Drinkware, Home & Travel",Luggage & Travel Gifts
1025-80,INLINE,Cool Gear® Deluxe Salad Kit,Polypropylene,"Freezable gel tray keeps your salad, toppings & dressing cold. 4-cup salad bowl with freezer gel veggie tray. Contains removable separate container for dressing. Snap closure hinges on lid keep contents fresh and secure. Patented design. All FDA compliant and BPA free.",Color:,Blue,Housewares,Food Storage (Housewares),"4.5"" H x 7.25"" D",Bulk,,,22.51,15.27,10.51,12,15.54,36,100,150,250,400,11.67,11.18,10.72,10.25,9.48,5R,US$,Cool Gear.eps,1025-80BL_D-2.eps,,,HousewaresBlankets_L.eps,Color: Blue,,,,,,,,,,,,"Freezable gel tray keeps your salad, toppings & dressing cold. 4-cup salad bowl with freezer gel veggie tray. Contains removable separate container for dressing. Snap closure hinges on lid keep contents fresh and secure. Patented design. All FDA compliant and BPA free. Bulk",,CoolGear.eps,Cool Gear® Deluxe Salad Kit,Cool Gear® Deluxe Salad Kit,"Drinkware, Home & Travel",Housewares & Blankets
1025-81,INLINE,Cool Gear® Soup To Go,Polypropylene,"Soup anytime. Microwave safe, 18 oz. insulated bowl with built-in handle. Folding spoon is included and fits neatly into insulated cover. Patented design. All FDA compliant and BPA free.",Color:,Blue,Housewares,Food Storage (Housewares),"6.25"" H x 4.25"" D",Bulk,,,17.4,11.53,8.93,12,6.45,48,150,300,450,600,11.05,10.6,10.15,9.7,8.98,5R,US$,Cool Gear.eps,1025-81BL_D-1.eps,,,HousewaresBlankets_L.eps,Color: Blue,,,,,,,,,,,,"Soup anytime. Microwave safe, 18 oz. insulated bowl with built-in handle. Folding spoon is included and fits neatly into insulated cover. Patented design. All FDA compliant and BPA free. Bulk",,CoolGear.eps,Cool Gear® Soup To Go,Cool Gear® Soup To Go,"Drinkware, Home & Travel",Housewares & Blankets
1025-82,INLINE,Cool Gear® Lunch Express Kit,Polypropylene,Microwave-safe lunch container has a divided compartment to keep food separated. Fork and knife included and stored in lid. Snap closure hinges on lid keep contents fresh and secure. Lid also contains built-in freezer gel to keep food cold. Patented design. All FDA compliant and BPA free.,Color:,Blue,Housewares,Food Storage (Housewares),"6.5"" H x 9"" W x 2.2"" L",Bulk,,,20.23,18.77,6.65,12,11.55,48,150,300,450,600,11.05,10.6,10.15,9.7,8.98,5R,US$,Cool Gear.eps,1025-82BL_D-4.eps,,,HousewaresBlankets_L.eps,Color: Blue,,,,,,,,,,,,Microwave-safe lunch container has a divided compartment to keep food separated. Fork and knife included and stored in lid. Snap closure hinges on lid keep contents fresh and secure. Lid also contains built-in freezer gel to keep food cold. Patented design. All FDA compliant and BPA free. Bulk,,CoolGear.eps,Cool Gear® Lunch Express Kit,Cool Gear® Lunch Express Kit,"Drinkware, Home & Travel",Housewares & Blankets
1025-99,INLINE,Fleece Blanket,Fleece and 600d PolyCanvas,Warm 6 x 4 fleece blanket comes with convenient carrying wrap with handles. 220 gsm Anti-piling polyester fleece. Perfect for carrying to events or keeping in the car in case of emergency.,Colors:,Black or Navy,Blankets,Blanket (Blankets),"72"" H x 48"" W x .38"" L",Bulk,,,18.88976,11.81102,16.5315,12,15.4,48,150,300,450,600,15.97,15.32,14.67,14.02,12.98,5R,US$,,1025-99BK_D-8.eps,,,HousewaresBlankets_R.eps,Colors: Black or Navy,,,,,,,,,,,,Warm 6 x 4 fleece blanket comes with convenient carrying wrap with handles. 220 gsm Anti-piling polyester fleece. Perfect for carrying to events or keeping in the car in case of emergency. Bulk,,,Fleece Blanket,Fleece Blanket,"Drinkware, Home & Travel",Housewares & Blankets
1030-95,INLINE,Belgio Insulated Double Wine Tote,Vinyl,Exclusive Leed's design. Fully insulated tote keeps two bottles cold. Side pocket includes stainless steel waiter corkscrew. Deep front pocket designed for additional storage.,Color:,Black,Housewares,Wine & Cheese Collection (Housewares),"16.25"" H x 8"" W x 4"" L",Bulk,,,22.44094,17.71654,16.14173,40,29.04,24,100,150,250,400,21.75,20.87,19.98,19.1,17.68,5R,US$,,1030-95BK_D-2.eps,,,HousewaresBlankets_R.eps,Color: Black,,,,,,,,,,,,Exclusive Leed's design. Fully insulated tote keeps two bottles cold. Side pocket includes stainless steel waiter corkscrew. Deep front pocket designed for additional storage. Bulk,,,Belgio Insulated Double Wine Tote,Belgio Insulated Double Wine Tote,"Drinkware, Home & Travel",Housewares & Blankets
1030-97,INLINE,Wine & Spirit Companion,Stainless Steel,"Clever bottle-shaped tool serves five unique functions. Functions include corkscrew, bottle opener, knife blade, serrated blade and magnifying glass for label reading.",Color:,Silver,Housewares,Wine & Cheese Collection (Housewares),".63"" H x 4"" W x 1.25"" L",1-piece white gift box,,,11.41732,8.07087,10.23622,80,19.8,72,150,200,450,600,6.13,5.88,5.63,5.38,4.98,5R,US$,,1030-97SL_D-1.eps,,,HousewaresBlankets_L.eps,Color: Silver,,,,,,,,,,,,"Clever bottle-shaped tool serves five unique functions. Functions include corkscrew, bottle opener, knife blade, serrated blade and magnifying glass for label reading. 1-piece white gift box",,,Wine & Spirit Companion,Wine & Spirit Companion,"Drinkware, Home & Travel",Housewares & Blankets
1031-13,INLINE,Cutlery To Go Set,ABS Plastic,"Reusable cutlery set includes spoon, knife and fork. Lid keeps utensils nested together. All FDA compliant.",Colors:,Blue or White,Housewares,Food Storage (Housewares),"7"" H x 1.25"" W x .75"" L",Bulk,,,15.55118,15.55118,16.33858,400,29.7,288,400,750,1000,1500,1.87,1.78,1.72,1.63,1.52,5R,US$,,1031-13WH_D-2.eps,,,HousewaresBlankets_L.eps,Colors: Blue or White,,,,,,,,,,,,"Reusable cutlery set includes spoon, knife and fork. Lid keeps utensils nested together. All FDA compliant. Bulk",,,Cutlery To Go Set,Cutlery To Go Set,"Drinkware, Home & Travel",Housewares & Blankets
1031-32,INLINE,Cool Gear® To Go Box,Polypropylene,"Your favorite carry-out container is transformed into a reusable set with this heavy-duty 4-piece container. Modify to any portion size, appetite or type of cuisine with two adjustable dividers in bottom piece. Choose to use one divider, both dividers or none. Microwave safe. Patent Pending. All FDA compliant and BPA free.",Color:,White,Housewares,Food Storage (Housewares),"2.8"" H x 8.5"" W x 6"" L",Bulk,,,19.25197,14.37402,9.62598,12,11.924,60,150,300,450,600,9.2,8.83,8.45,8.08,7.48,5R,US$,Cool Gear.eps,1031-32WH-D-1.eps,Yes,New,HousewaresBlankets_L.eps,Color: White,,,,,,,,,,,,"Your favorite carry-out container is transformed into a reusable set with this heavy-duty 4-piece container. Modify to any portion size, appetite or type of cuisine with two adjustable dividers in bottom piece. Choose to use one divider, both dividers or none. Microwave safe. Patent Pending. All FDA compliant and BPA free. Bulk",,CoolGear.eps,Cool Gear® To Go Box,Cool Gear® To Go Box,"Drinkware, Home & Travel",Housewares & Blankets
1031-38,INLINE,Belgio Wine Capsule,Stainless Steel,"Double wall stainless steel vacuum bottle will keep liquids cool for 10 hours. Perfect for travel, a great companion poolside, at a picnic or anytime traveling. Fits one 750mL bottle of wine. FDA compliant.",Color:,Silver,Housewares,Wine & Cheese Collection (Housewares),"12.25"" H x 3"" D x 25 oz.",1-piece white gift box,,,13.38583,17.12598,16.92913,25,25.3,24,100,150,250,400,24.58,23.58,22.58,21.58,19.98,5R,US$,,1031-38SL_D.eps,,,HousewaresBlankets_L.eps,Color: Silver,,,,,,,,,,,,"Double wall stainless steel vacuum bottle will keep liquids cool for 10 hours. Perfect for travel, a great companion poolside, at a picnic or anytime traveling. Fits one 750mL bottle of wine. FDA compliant. 1-piece white gift box",,,Belgio Wine Capsule,Belgio Wine Capsule,,
1031-39,NEW,Chillsner® by Corkcicle® Set,Stainless Steel,"Cool to the last sip. Presenting the one and only in-bottle, drink-through beer chiller: Chillsner® by Corkcicle®. Just freeze, insert into any standard size bottled beer (9"") and never suffer through another warm brew. Respect the beer. Chillsner is perfect for parties, tailgating and pretty much any occasion where beloved beers are enjoyed. Accompanied by a perfect fit neoprene bottle insulator for extreme levels of chill. Bottle insulator is collapsible, has a zippered back featuring a rubber Chillsner zipper-pull. FDA compliant.",Color:,Black,Housewares,Tabletop & Serving (Housewares),"2.43"" H x 9.62"" W x 4.25"" L",1-piece premium gift box,,,20.07874,18.11024,12.99213,40,22,24,100,150,200,400,23.35,22.4,21.45,20.5,18.98,5R,US$,,1031-39BK_D-1.eps,,,HousewaresBlankets_R.eps,Color: Black,,,,,,,,,,,,"Cool to the last sip. Presenting the one and only in-bottle, drink-through beer chiller: Chillsner® by Corkcicle®. Just freeze, insert into any standard size bottled beer (9"") and never suffer through another warm brew. Respect the beer. Chillsner is perfect for parties, tailgating and pretty much any occasion where beloved beers are enjoyed. Accompanied by a perfect fit neoprene bottle insulator for extreme levels of chill. Bottle insulator is collapsible, has a zippered back featuring a rubber Chillsner zipper-pull. FDA compliant. 1-piece premium gift box",,,Chillsner® by Corkcicle® Set,Chillsner® by Corkcicle® Set,,
1031-40,INLINE,Belgio Wine Aerator,ABS Plastic,Instantly aerates red wines for maximum flavor release and enjoyment. Pour wine through aerator directly into wine glass for exposure to the perfect amount of air. Screw-apart design makes aerator easy to clean. Can be used with or without a decanter. FDA compliant.,Color:,Black,Housewares,Wine & Cheese Collection (Housewares),"3"" H x 7.25"" W x 4"" L",1-piece white gift box,,,15.55118,9.64567,13.77953,16,27.5,18,75,125,200,300,28.27,27.12,25.97,24.82,22.98,5R,US$,,1031-40BK_D-1.eps,,,HousewaresBlankets_L.eps,Color: Black,,,,,,,,,,,,Instantly aerates red wines for maximum flavor release and enjoyment. Pour wine through aerator directly into wine glass for exposure to the perfect amount of air. Screw-apart design makes aerator easy to clean. Can be used with or without a decanter. FDA compliant. 1-piece white gift box,,,Belgio Wine Aerator,Belgio Wine Aerator,,
1031-42,INLINE,Belgio 2-Piece Wine Stopper Set,Wood,"Set includes two classic bottle stoppers with rubber grips presented in a contemporary, retail-inspired wooden storage box. FDA compliant.",Color:,Black,Housewares,Wine & Cheese Collection (Housewares),"5.375"" H x 4.5"" W x 1.25"" L",1-piece white gift box,,,20.47244,12.59843,10.62992,48,26.4,48,150,300,450,600,8.58,8.23,7.88,7.55,6.98,5R,US$,,1031-42BK_D-1.eps,,,HousewaresBlankets_L.eps,Color: Black,,,,,,,,,,,,"Set includes two classic bottle stoppers with rubber grips presented in a contemporary, retail-inspired wooden storage box. FDA compliant. 1-piece white gift box",,,Belgio 2-Piece Wine Stopper Set,Belgio 2-Piece Wine Stopper Set,,
1031-43,NEW,Punch Square Food Container,Polypropylene,"Part of the Sour Punch Trend Collection, the on-trend color pop is sure to turn heads. Large square base includes removable triangle compartment and reusable fork. Lid with steam release silicone plug for easy ventilation. Silicone band and snap closure hinges on lid keep contents fresh and secure. FDA compliant.",Colors:,"Blue, Gray or Red",Housewares,Food Storage (Housewares),"2.5"" H x 7.5"" W x 7.5"" L",Bulk,,,20.86614,14.96063,20.47244,48,33.924,72,150,300,450,600,8.58,8.23,7.88,7.55,6.98,5R,US$,,1031-43RD_D.eps,,,HousewaresBlankets_R.eps,"Colors: Blue, Gray or Red",,,,,,,,,,,,"Part of the Sour Punch Trend Collection, the on-trend color pop is sure to turn heads. Large square base includes removable triangle compartment and reusable fork. Lid with steam release silicone plug for easy ventilation. Silicone band and snap closure hinges on lid keep contents fresh and secure. FDA compliant. Bulk",,,Punch Square Food Container,Punch Square Food Container,,
1031-46,NEW,Punch Oval Food Container,Polypropylene,"Part of the Sour Punch Trend Collection, the on-trend color pop is sure to turn heads. Oval base includes two compartment nesting tray and reusable spoon. Lid with steam release silicone plug for easy ventilation. Silicone band on lid and snap closure hinges keep contents fresh and secure. FDA complaint.",Colors:,"Blue, Gray or Red",Housewares,Food Storage (Housewares),"3"" H x 6.6"" W x 5.75"" L",Bulk,,,25,16.49606,19.29134,72,32.296,96,150,300,450,600,6.13,5.88,5.63,5.38,4.98,5R,US$,,1031-46BL_D.eps,,,HousewaresBlankets_R.eps,"Colors: Blue, Gray or Red",,,,,,,,,,,,"Part of the Sour Punch Trend Collection, the on-trend color pop is sure to turn heads. Oval base includes two compartment nesting tray and reusable spoon. Lid with steam release silicone plug for easy ventilation. Silicone band on lid and snap closure hinges keep contents fresh and secure. FDA complaint. Bulk",,,Punch Oval Food Container,Punch Oval Food Container,,
1031-76,NEW,Happy Nest Bottle Opener Pizza Cutter,Plastic,"What could be better than beer and pizza? Great for college students, young adults and anyone who enjoys a laid back Friday night. Pizza cutter with pry-off bottle opener integrated into handle. FDA compliant.",Colors:,"Black, Blue, Lime or Red",Housewares,Tabletop & Serving (Housewares),"2.43"" H x 5.12"" W x .12"" L",Bulk,,,17.12598,10.03937,12.59843,250,22,288,400,500,1000,1500,2.47,2.37,2.27,2.17,2,5R,US$,,1031-76RD_D.eps,,,HousewaresBlankets_R.eps,"Colors: Black, Blue, Lime or Red",,,,,,,,,,,,"What could be better than beer and pizza? Great for college students, young adults and anyone who enjoys a laid back Friday night. Pizza cutter with pry-off bottle opener integrated into handle. FDA compliant. Bulk",,,Happy Nest Bottle Opener Pizza Cutter,Happy Nest Bottle Opener Pizza Cutter,,
1031-77,NEW,Wood Grain Ceramic Coaster Set,Ceramic,Contemporary white ceramic coasters have detailing of wood grain debossed into surface. Coasters have foam pads on bottoms to protect desk or tabletop from condensation or scratches. Set includes four coasters and wooden slide-open storage box. Great for use in the office or in the home. Exclusive Leed's design.,Color:,Wood,Housewares,Tabletop & Serving (Housewares),"1.25"" H x 4.62"" W x 4.62"" L",Individual polybag,,,14.56693,10.03937,8.26772,24,30.8,24,100,150,200,400,22.12,21.22,20.32,19.42,17.98,5R,US$,,1031-77WD_D-1.eps,,,HousewaresBlankets_R.eps,Color: Wood,,,,,,,,,,,,Contemporary white ceramic coasters have detailing of wood grain debossed into surface. Coasters have foam pads on bottoms to protect desk or tabletop from condensation or scratches. Set includes four coasters and wooden slide-open storage box. Great for use in the office or in the home. Exclusive Leed's design. Individual polybag,,,Wood Grain Ceramic Coaster Set,Wood Grain Ceramic Coaster Set,,
1031-78,NEW,Mason Jar Salt & Pepper Shaker Set,Ceramic,Trendy ceramic mason jar salt and pepper shakers with petite c-handle. Shakers have metal lid and are refillable through a plug in the bottom. Exclusive Leed's design. FDA complaint.,Color:,Black/White,Housewares,Tabletop & Serving (Housewares),"2.5"" H x 3.6"" W x 2"" L",1-piece natural gift box,,,12.40157,10.03937,13.18898,48,17.6,48,150,300,450,600,9.82,9.42,9.02,8.62,7.98,5R,US$,,1031-78BKW_D.eps,,,HousewaresBlankets_L.eps,Color: Black/White,,,,,,,,,,,,Trendy ceramic mason jar salt and pepper shakers with petite c-handle. Shakers have metal lid and are refillable through a plug in the bottom. Exclusive Leed's design. FDA complaint. 1-piece natural gift box,,,Mason Jar Salt & Pepper Shaker Set,Mason Jar Salt & Pepper Shaker Set,,
1031-80,NEW,Happy Nest Bottle Stopper Set,Silicone,Silicone stoppers provide an airtight seal in any size wine bottle. Sold in sets of blue and lime or black and red. Both stoppers are decorated and packaged side-by-side in Happy Nest gift box. FDA compliant,Colors:,Blue/Green or Red/Black,Housewares,Wine & Cheese Collection (Housewares),"2.5"" H",1-piece white gift box,,,10.62992,7.87402,14.17323,72,11,96,150,300,450,600,6.13,5.88,5.63,5.38,4.98,5R,US$,,1031-80BLGR_D-1.eps,,,HousewaresBlankets_R.eps,Colors: Blue/Green or Red/Black,,,,,,,,,,,,Silicone stoppers provide an airtight seal in any size wine bottle. Sold in sets of blue and lime or black and red. Both stoppers are decorated and packaged side-by-side in Happy Nest gift box. FDA compliant 1-piece white gift box,,,Happy Nest Bottle Stopper Set,Happy Nest Bottle Stopper Set,,
1031-81,NEW,Happy Nest Apron,PolyCanvas,"Adjustable apron is sized for men and women alike! Tie neck strap and tie back allow for the perfect fit. Large front pocket with stitched divider down the center for easy organization of contents. Perfect for baking, cooking or barbecuing. Happy Nest woven label on pocket. Exclusive Leed's design.",Colors:,"Black, Blue, Lime or Red",Housewares,Tabletop & Serving (Housewares),"26.75"" H x 27.5"" W",Individual polybag,,,0,0,0,0,0,60,150,300,450,600,9.2,8.83,8.45,8.08,7.48,5R,US$,,1031-81BK_D.eps,,,HousewaresBlankets_R.eps,"Colors: Black, Blue, Lime or Red",,,,,,,,,,,,"Adjustable apron is sized for men and women alike! Tie neck strap and tie back allow for the perfect fit. Large front pocket with stitched divider down the center for easy organization of contents. Perfect for baking, cooking or barbecuing. Happy Nest woven label on pocket. Exclusive Leed's design. Individual polybag",,,Happy Nest Apron,Happy Nest Apron,,
1031-82,NEW,Happy Nest Wine Mate,Polypropylene,"The all-in-one wine sidekick. The Happy Nest Wine Mate functions as a pourer, stopper, and corkscrew. Pourer inserts into wine bottle with airtight seal, simply remove plug to pour and replace to seal for extended freshness. Twist and remove corkscrew from plug for uncorking bottles. Exclusive Leed's design. FDA compliant.",Colors:,Blue/Green or Red/Black,Housewares,Wine & Cheese Collection (Housewares),"4.8"" H x 1.06"" W x 1.25"" L",1-piece white gift box,,,19.29134,12.99213,11.61417,192,23.98,96,150,300,450,600,6.13,5.88,5.63,5.38,4.98,5R,US$,,1031-82RDBK_D-1.eps,,,HousewaresBlankets_R.eps,Colors: Blue/Green or Red/Black,,,,,,,,,,,,"The all-in-one wine sidekick. The Happy Nest Wine Mate functions as a pourer, stopper, and corkscrew. Pourer inserts into wine bottle with airtight seal, simply remove plug to pour and replace to seal for extended freshness. Twist and remove corkscrew from plug for uncorking bottles. Exclusive Leed's design. FDA compliant. 1-piece white gift box",,,Happy Nest Wine Mate,Happy Nest Wine Mate,,
1031-83,INLINE,Color Dip Salad Bowl Set,Polypropylene,"Part of the Split Decision Trend Collection, five-piece set includes salad bowl, tray for toppings, dressing container, lid and fork. Dressing container nests in center of vegetable tray and reusable fork snaps into designated slot on lid. All FDA compliant.",Colors:,"Blue, Lime or White",Housewares,Food Storage (Housewares),"5.25"" H x 7"" D",Bulk,,,22.44094,14.76378,20.07874,24,14.96,72,150,200,450,600,7.23,6.95,6.65,6.35,5.88,5R,US$,,1031-83WH_D-3.eps,,,HousewaresBlankets_R.eps,"Colors: Blue, Lime or White",,,,,,,,,,,,"Part of the Split Decision Trend Collection, five-piece set includes salad bowl, tray for toppings, dressing container, lid and fork. Dressing container nests in center of vegetable tray and reusable fork snaps into designated slot on lid. All FDA compliant. Bulk",,,Color Dip Salad Bowl Set,Color Dip Salad Bowl Set,"Drinkware, Home & Travel",Housewares & Blankets
1031-89,INLINE,Happy Nest Measuring Set,Polypropylene,Measuring set includes four combination measuring cups/spoons and clip for neat keeping. Design is highly functional with spoons integrated into scoop handles. Handles are clearly marked with measurements. All FDA compliant.,Color:,White,Housewares,Tabletop & Serving (Housewares),"2"" H x 8.5"" W x 2.87"" L",Bulk,,,17.71654,9.05512,15.74803,48,9.9,288,400,750,1000,1500,2.47,2.37,2.27,2.17,2,5R,US$,,1031-89WH_D-3.eps,,,HousewaresBlankets_R.eps,Color: White,,,,,,,,,,,,Measuring set includes four combination measuring cups/spoons and clip for neat keeping. Design is highly functional with spoons integrated into scoop handles. Handles are clearly marked with measurements. All FDA compliant. Bulk,,,Happy Nest Measuring Set,Happy Nest Measuring Set,"Drinkware, Home & Travel",Housewares & Blankets
1031-90,INLINE,Salad Shaker Set,Polypropylene,"Four-piece set includes shaker cup, lid, dressing container and fork. Lid securely snaps into place on shaker cup and dressing container nests in lid. Reusable fork conveniently stows in designated slot on shaker lid. All FDA compliant.",Colors:,"Blue, Lime or White",Housewares,Food Storage (Housewares),"7.75"" H x 4.5"" D",Bulk,,,18.11024,13.77953,16.14173,24,7.04,144,250,400,600,1000,3.55,3.4,3.25,3.12,2.88,5R,US$,,1031-90BL_D-2.eps,,,HousewaresBlankets_L.eps,"Colors: Blue, Lime or White",,,,,,,,,,,,"Four-piece set includes shaker cup, lid, dressing container and fork. Lid securely snaps into place on shaker cup and dressing container nests in lid. Reusable fork conveniently stows in designated slot on shaker lid. All FDA compliant. Bulk",,,Salad Shaker Set,Salad Shaker Set,"Drinkware, Home & Travel",Housewares & Blankets
